Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
nissan,Nissan Pixo,rot,02/2010,2010,3999,50,68,Schaltgetriebe,Benzin,4.4,133000.0,Acenta *Klima*TÜV 01/2025 AHK*Zentral V.*,Gebrauchtwagen
bmw,BMW X5,schwarz,10/2010,2010,15990,180,245,Automatik,Diesel,7.4,226000.0,xDrive30d Facelift |M-PAKET|LEDER|XENON|AHK|,Gebrauchtwagen
ford,Ford Fiesta,rot,04/2018,2018,11990,74,101,Schaltgetriebe,Benzin,4.6,98764.0,1.0 EcoBoost S&S COOL&CONNECT,Gebrauchtwagen
hyundai,Hyundai SANTA FE,schwarz,06/2011,2011,5999,128,174,Automatik,Benzin,8.8,150000.0,2.4 4WD Automatik Comfort,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 250,schwarz,08/2013,2013,17998,150,204,Automatik,Benzin,7.4,116139.0,Coupe Automatik CGI BE Leder Navi Xenon,Gebrauchtwagen
opel,Opel Insignia,silber,06/2019,2019,32500,154,209,Automatik,Diesel,6.9,38000.0,"GSi 4x4 2.0 154kW, OPC Performance Ledersitze &...",Gebrauchtwagen
nissan,Nissan Qashqai,rot,02/2019,2019,18700,103,140,Schaltgetriebe,Benzin,5.3,42532.0,1.3 DIG-T N-CONNECTA,Gebrauchtwagen
renault,Renault Megane,schwarz,04/2008,2008,3600,82,111,Schaltgetriebe,Benzin,7.0,172000.0,Megane 1.6 Coupe-Cabriolet Avantage,Gebrauchtwagen
audi,Audi A4,schwarz,05/2013,2013,14700,125,170,Schaltgetriebe,Benzin,6.1,127746.0,"Attraction Avant (8K5),ALU,NAVI,XENON,TEMPOMAT",Gebrauchtwagen
volkswagen,Volkswagen Tiguan,weiß,03/2014,2014,16900,118,160,Schaltgetriebe,Benzin,6.7,82000.0,Sport & Style BMT R-Line 1. Hand Navi All,Gebrauchtwagen
skoda,Skoda Superb,silber,03/2020,2020,31990,140,190,Automatik,Benzin,7.6,56308.0,2.0TSI DSG Sportline Digt Cockpit AHK,junger Gebrauchtwagen
seat,SEAT Ateca,grau,06/2023,2023,31990,110,150,Automatik,Benzin,6.4,10.0,1.5 TSI Style DSG * LED * DAB * PDC HI. * KLIMA *,Neuwagen
citroen,Citroen C3 Aircross,silber,05/2019,2019,14990,81,110,Schaltgetriebe,Benzin,4.8,56000.0,PureTech 110 Stop & Start OPF LIVE,Gebrauchtwagen
ford,Ford Fiesta,grau,02/2009,2009,7950,71,97,Automatik,Benzin,6.5,106562.0,Trend Automatik Klimaanlage HU neu,Gebrauchtwagen
land-rover,Land Rover Range Rover Evoque,grau,10/2018,2018,39890,177,241,Automatik,Benzin,8.2,61672.0,Si4 Autobiography,Gebrauchtwagen
ford,Ford S-Max,rot,02/2019,2019,31950,140,190,Automatik,Diesel,5.3,31987.0,"2,0 TDCi ST-Line KAM LED E-SITZE SHZ PDC",Gebrauchtwagen
volkswagen,Volkswagen T-Cross,orange,05/2022,2022,22970,81,110,Schaltgetriebe,Benzin,4.9,11500.0,Life 1.0 TSI ACC PDC v+h Navi über APP Connect Cli,junger Gebrauchtwagen
porsche,Porsche Cayenne,schwarz,12/2005,2005,7299,250,340,Automatik,Benzin,14.9,190000.0,Porsche Cayenne S TÜV XENON BOSE,Gebrauchtwagen
fiat,Fiat Tipo,silber,06/2022,2022,16990,74,101,Schaltgetriebe,Benzin,5.1,10.0,Lim 1.0 /KLIMA/TEMPOMAT/BLUETOOTH,junger Gebrauchtwagen
opel,Opel Insignia,silber,03/2019,2019,15290,125,170,Schaltgetriebe,Diesel,5.4,128266.0,2.0 CDTI Sports Tourer INNOVATION LED A,Gebrauchtwagen
hyundai,Hyundai iX35,weiß,09/2012,2012,10880,99,135,Schaltgetriebe,Benzin,6.8,122000.0,"1.6 2WD 5 Star Edition, Navi, Klimaautomatik",Gebrauchtwagen
audi,Audi A4,silber,12/2008,2008,8000,195,265,Automatik,Benzin,9.4,225000.0,limusine  3.2 FSI quattro  S line,Gebrauchtwagen
porsche,Porsche Macan,grau,04/2018,2018,47400,185,252,Automatik,Benzin,7.2,47767.0,PDK/ PASM/ PCM/ KAMERA,Gebrauchtwagen
opel,Opel Meriva,braun,11/2011,2011,10799,74,101,Automatik,Diesel,6.4,94893.0,B Innovation *Automatik*Navi*Winterpaket*,Gebrauchtwagen
mini,MINI One D Clubman,rot,10/2019,2019,18420,85,116,Schaltgetriebe,Diesel,4.1,41625.0,One D Navi*LED*Sportsitze*Parkassist*1.Hand*Unfall,Gebrauchtwagen
skoda,Skoda Fabia,blau,05/2023,2023,17355,59,80,Schaltgetriebe,Benzin,5.1,8.0,1.0 MPI Ambition Plus 5J Garnatie SHZ GRA LAGER,Neuwagen
audi,Audi A5,grau,04/2018,2018,26999,140,190,Automatik,Diesel,4.5,140000.0,Coupe QUATTRO 2x S Line Plus,Gebrauchtwagen
audi,Audi A4,grau,07/2001,2001,2950,75,102,Schaltgetriebe,Benzin,7.7,124853.0,Lim. 1.6|Klima|El.Fenster|2.Hand|,Gebrauchtwagen
hyundai,Hyundai i30,schwarz,06/2014,2014,8790,99,135,Schaltgetriebe,Benzin,6.2,134000.0,cw FIFA World Cup Edition Navi Kamera SHZ,Gebrauchtwagen
audi,Audi A6 allroad,schwarz,10/2019,2019,54960,257,349,Automatik,Diesel,6.4,37600.0,55 TDI quattro*PANORAMA*360*AHK*HeadUp*LUFT*,Gebrauchtwagen
hyundai,Hyundai i10,silber,03/2023,2023,17490,49,67,Schaltgetriebe,Benzin,4.8,1576.0,1.0 BENZIN M/T CONNECT&GO Navi Spurhalteassistent,Jahreswagen
peugeot,Peugeot 207,schwarz,10/2010,2010,6699,115,156,Schaltgetriebe,Benzin,7.4,160000.0,Platinum CC Black & White Edition,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 180,grau,02/2012,2012,13000,115,156,Automatik,Benzin,6.6,138900.0,C 180 T BlueEFFICIENCY 7G-TRONIC,Gebrauchtwagen
hyundai,Hyundai SANTA FE,weiß,03/2023,2023,53490,142,193,Automatik,Diesel,7.0,3500.0,2.2 CRDi 4WD 8-DCT SEVEN Signature,Jahreswagen
volkswagen,Volkswagen New Beetle,schwarz,08/2009,2009,7980,75,102,Schaltgetriebe,Benzin,7.5,128300.0,"1,6 Freestyle Sitzheizung Klima Tempo",Gebrauchtwagen
audi,Audi A5,rot,10/2017,2017,35690,185,252,Automatik,Benzin,6.6,76525.0,Cabriolet quattro S-Line sport Kopfraumheiz.,Gebrauchtwagen
audi,Audi A6,grau,03/2021,2021,61650,250,340,Automatik,Benzin,7.3,20100.0,Limousine 55 TFSI qu. S-Line HUD PAN Matrix B+O,junger Gebrauchtwagen
volkswagen,Volkswagen Golf Variant,blau,07/2020,2020,22795,110,150,Automatik,Diesel,4.4,19770.0,Golf VII Variant GP 2.0 TDI DSG Comfortline | NAVI,junger Gebrauchtwagen
kia,Kia Picanto,weiß,05/2023,2023,15490,62,84,Schaltgetriebe,Benzin,4.6,50.0,PICANTO 1.2 VISION *KOMFORT-PAKET*,Jahreswagen
kia,Kia XCeed,grau,11/2020,2020,29870,150,204,Automatik,Benzin,6.9,26656.0,1.6T DCT PLATINUM STD Fernlichtass. LED,junger Gebrauchtwagen
volkswagen,Volkswagen Polo,rot,01/2017,2017,12490,66,90,Schaltgetriebe,Benzin,4.7,78867.0,1.2 TSI Allstar BMT*NAVI*PDC*SHZ*,Gebrauchtwagen
skoda,Skoda Octavia,silber,12/2013,2013,8990,110,150,Schaltgetriebe,Diesel,4.2,162755.0,2.0 TDI Combi *Klima*Tempomat*17 Zoll*,Gebrauchtwagen
fiat,Fiat Talento,schwarz,01/2019,2019,26420,89,121,Schaltgetriebe,Diesel,6.3,73140.0,Kombi L2H1 1.6 9 SITZER KLIMA PDC RADIO,Gebrauchtwagen
volkswagen,Volkswagen Touran,grau,11/2019,2019,24499,110,150,Automatik,Diesel,6.1,104000.0,"2.0 TDI SCR DSG Comfortline Massagesitz, SH, Alcan",Gebrauchtwagen
ford,Ford B-Max,grau,03/2016,2016,18900,77,105,Automatik,Benzin,6.4,38745.0,Titanium AUTOMATIK wenig KM!,Gebrauchtwagen
ford,Ford Focus,grau,12/2020,2020,19000,92,125,Schaltgetriebe,Benzin,4.9,28000.0,1.0 ecoboost ST-Line business. Garantie!,junger Gebrauchtwagen
dacia,Dacia Sandero,schwarz,08/2017,2017,11990,66,90,Schaltgetriebe,Benzin,5.1,59000.0,Stepway TCe 90 Prestige,Gebrauchtwagen
mercedes-benz,Mercedes-Benz S 600,schwarz,12/2003,2003,28999,368,500,Automatik,Benzin,14.8,59990.0,AB 247€ S 600 L V12 Bi-Turbo Service+Tüv neu,Gebrauchtwagen
citroen,Citroen Berlingo,beige,09/2022,2022,35980,96,131,Schaltgetriebe,Diesel,4.3,50.0,Shine XL*STANDHEIZUNG*NAVI*KEYLESS*,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz ML 320,schwarz,10/2006,2006,14299,165,224,Automatik,Diesel,9.4,198000.0,CDI 4Matic -RÜCKFAHRKAMERA / Sportpaket (Black),Gebrauchtwagen
skoda,Skoda Fabia,weiß,01/2018,2018,15390,81,110,Automatik,Benzin,4.6,43000.0,Combi Monte Carlo,Gebrauchtwagen
volkswagen,Volkswagen Scirocco,blau,02/2017,2017,19800,132,179,Automatik,Benzin,6.4,40099.0,2.0 TSI BMT,Gebrauchtwagen
volkswagen,Volkswagen up!,rot,03/2016,2016,8900,44,60,Schaltgetriebe,Benzin,4.4,17200.0,Generation Four Navi Sitzheiz HU/AU neu,Gebrauchtwagen
opel,Opel Corsa,blau,01/2010,2010,2400,51,69,Schaltgetriebe,Benzin,5.3,223000.0,1.2 16V ecoFLEX Edition 111 Jahre,Gebrauchtwagen
ford,Ford Ranger Raptor,schwarz,02/2023,2023,59870,156,212,Automatik,Diesel,10.6,808.0,"ST-Line 1,0 125PS 5*J.Gar/Navi/LED/Winterp.   **",Jahreswagen
land-rover,Land Rover Discovery Sport,weiß,03/2020,2020,42880,110,150,Automatik,Diesel,5.6,83567.0,D240 HSE *AHK und HUD*,junger Gebrauchtwagen
land-rover,Land Rover Range Rover Sport,schwarz,03/2019,2019,56500,183,249,Automatik,Diesel,7.5,49912.0,SE 3.0 SDV6*LED*20Zoll*Kamera,Gebrauchtwagen
skoda,Skoda Octavia,grau,07/2018,2018,20990,135,184,Automatik,Diesel,4.9,116000.0,"- L&K - 4x4*SHZ*LED*Alu 18""Standheizung",Gebrauchtwagen
seat,SEAT Leon,grau,06/2016,2016,13990,110,150,Schaltgetriebe,Benzin,4.8,143000.0,FR ST *LED*KLIMA*NAVI*TEILLEDER*HU/AU NEU*GARANTIE,Gebrauchtwagen
skoda,Skoda Fabia,grau,09/2017,2017,23840,81,110,Schaltgetriebe,Benzin,4.4,96029.0,1.0 TSI Ambition*PDC*TEMPO*SHZ*KLIMA*,Gebrauchtwagen
opel,Opel Mokka X,weiß,01/2017,2017,18990,103,140,Automatik,Benzin,6.2,47666.0,Edition,Gebrauchtwagen
mercedes-benz,Mercedes-Benz A 160,blau,12/2001,2001,9650,75,102,Automatik,Benzin,7.9,96000.0,CDI CLASSIC Automatik*Klima*Regensensor*,Gebrauchtwagen
toyota,Toyota Avensis,grau,01/2009,2009,6799,93,126,Schaltgetriebe,Diesel,5.9,123450.0,2,Gebrauchtwagen
skoda,Skoda Octavia,weiß,09/2019,2019,16350,85,116,Schaltgetriebe,Diesel,4.1,123500.0,Combi 1.6 TDI Style,Gebrauchtwagen
volkswagen,Volkswagen Tiguan,rot,10/2017,2017,22900,110,150,Automatik,Diesel,4.8,103000.0,Highline BMT/Start-Stopp/LED/NAVI,Gebrauchtwagen
mazda,Mazda CX-5,grau,02/2023,2023,39990,143,194,Automatik,Benzin,7.1,5000.0,"Homura SKYACTIV-G Navi, 360 Kamera",Jahreswagen
mercedes-benz,Mercedes-Benz C 220,schwarz,01/2014,2014,11890,125,170,Schaltgetriebe,Diesel,4.3,177000.0,T CDI BE Spur.-Totwin-.SHZ-Navi-BiXenon-6G,Gebrauchtwagen
seat,SEAT Ibiza,blau,02/2020,2020,16880,85,116,Schaltgetriebe,Benzin,4.7,59612.0,Style 1.0 TSI EU6d-T+Klima+Apple CarPlay+Android A,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,grau,10/2008,2008,7950,59,80,Schaltgetriebe,Benzin,7.2,78200.0,"V Plus 1,4 Edition Tempomat FINANZIERUNG",Gebrauchtwagen
audi,Audi SQ5,weiß,06/2013,2013,23000,294,400,Automatik,Diesel,6.8,198000.0,3.0 TDI quattro tiptronic,Gebrauchtwagen
toyota,Toyota Yaris,silber,07/2009,2009,3400,51,69,Schaltgetriebe,Benzin,5.0,156000.0,Cool (KSP9/SCP9/NLP9),Gebrauchtwagen
hyundai,Hyundai TUCSON,weiß,11/2015,2015,16490,97,132,Schaltgetriebe,Benzin,6.3,70033.0,blue Trend 2WD,Gebrauchtwagen
volvo,Volvo V60,grau,02/2019,2019,32490,228,310,Automatik,Benzin,7.4,37412.0,T6 AWD Geartronic Inscription,Gebrauchtwagen
bmw,BMW 114,weiß,01/2015,2015,8890,75,102,Schaltgetriebe,Benzin,5.7,163000.0,i Lim.Klima ALU Top Zustand!,Gebrauchtwagen
volkswagen,Volkswagen Tiguan,schwarz,11/2018,2018,28990,110,150,Automatik,Diesel,4.8,63419.0,"2.0 TDI BMT DSG R-Line*AHK*LED*19""*Navi* R-Line",Gebrauchtwagen
volkswagen,Volkswagen Tiguan,blau,07/2016,2016,19499,85,116,Schaltgetriebe,Diesel,4.7,67820.0,BMT/Start-Stopp,Gebrauchtwagen
volkswagen,Volkswagen Golf,blau,10/2003,2003,2999,55,75,Schaltgetriebe,Benzin,6.4,114000.0,IV Lim. 1.4L *Edition*  *114tKm* TÜV & AU NEU *,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 230,schwarz,04/2001,2001,12849,145,197,Automatik,Benzin,9.6,76829.0,Kompressor Automatik Cabrio GRA*KLIMA*SHZ,Gebrauchtwagen
seat,SEAT Ibiza,schwarz,09/2018,2018,14500,85,116,Schaltgetriebe,Benzin,4.3,35000.0,Seat Ibiza FR 1.0 TSI,Gebrauchtwagen
opel,Opel Insignia,schwarz,09/2014,2014,15750,120,163,Schaltgetriebe,Diesel,4.5,53000.0,Country Tourer *Standheiz*Kamera*AHK*,Gebrauchtwagen
audi,Audi S5,blau,10/2014,2014,20800,245,333,Automatik,Benzin,7.7,199000.0,Coupe 3.0 TFSI quattro,Gebrauchtwagen
audi,Audi A1,gelb,03/2020,2020,26947,110,150,Automatik,Benzin,6.3,24429.0,35 TFSI advanced S line LED Virtual,junger Gebrauchtwagen
renault,Renault Clio,blau,01/2006,2006,1700,55,75,Schaltgetriebe,Benzin,5.9,167200.0,Authentique III,Gebrauchtwagen
opel,Opel Corsa,weiß,10/2018,2018,11490,110,150,Schaltgetriebe,Benzin,6.1,32256.0,E Color Edition ecoFlex/Tüv&Inspektion NEU,Gebrauchtwagen
opel,Opel Adam,weiß,03/2017,2017,12550,110,150,Schaltgetriebe,Benzin,6.3,68000.0,"1.4 Turbo S ,Sportpaket,Alu 18 Zoll,Top Zustand",Gebrauchtwagen
skoda,Skoda Kodiaq,schwarz,05/2023,2023,43945,110,150,Automatik,Diesel,5.6,1002.0,Sportline TDI DSG|7SITZE|KAMERA|AHK|ACC|,Jahreswagen
hyundai,Hyundai i20,weiß,12/2019,2019,14190,55,75,Schaltgetriebe,Benzin,5.8,33586.0,1.2 Select*KLIMA*GARANTIE*,Gebrauchtwagen
land-rover,Land Rover Range Rover Sport,blau,05/2019,2019,62000,225,306,Automatik,Diesel,7.5,60614.0,HSE Dynamic*Panorama*AHK*LED*,Gebrauchtwagen
opel,Opel Meriva,blau,04/2006,2006,2000,66,90,Schaltgetriebe,Benzin,6.2,147000.0,1.4,Gebrauchtwagen
ford,Ford Fiesta,silber,05/2019,2019,17430,74,101,Schaltgetriebe,Benzin,5.1,31500.0,Titanium Navi Wipa ACC PDC City Stop Kamera,Gebrauchtwagen
volkswagen,Volkswagen Golf Plus,silber,09/2012,2012,9500,90,122,Automatik,Benzin,6.3,133000.0,1.4 TSI DSG MATCH,Gebrauchtwagen
bmw,BMW 120,schwarz,10/2015,2015,17900,140,190,Automatik,Diesel,3.9,99560.0,120d Aut. Advantage,Gebrauchtwagen
mazda,Mazda 3,weiß,12/2019,2019,25490,132,179,Automatik,Benzin,5.5,85290.0,Prime-Line 1 Hand Garantie,Gebrauchtwagen
bmw,BMW X3,silber,11/2005,2005,4900,110,150,Schaltgetriebe,Diesel,7.2,259000.0,"2.0d Klimaautomatik, Navi, Rückfahrkamera, Alu",Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 300,blau,07/2017,2017,29950,180,245,Automatik,Benzin,6.3,39300.0,AVANTGARDE MULTIBEAM DISTRO COMAND KAMERA,Gebrauchtwagen
seat,SEAT Leon,weiß,02/2022,2022,26500,81,110,Schaltgetriebe,Benzin,5.6,19500.0,FR 1.0 eTSI NAVI/LED uvm.,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 250,schwarz,01/2019,2019,29990,155,211,Automatik,Benzin,6.9,50250.0,2.0 CGI  AMG* AHK*Exkus. P.*Keyless*NAVI,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLA 200,rot,01/2022,2022,42490,110,150,Automatik,Diesel,4.6,18320.0,d Progressive Multibeam High-End Navi,junger Gebrauchtwagen
volkswagen,Volkswagen Golf GTI,schwarz,06/2016,2016,25000,284,386,Automatik,Benzin,6.9,94000.0,Clubsport DSG Schale,Gebrauchtwagen
kia,Kia XCeed,grau,10/2020,2020,21450,103,140,Schaltgetriebe,Benzin,6.2,45711.0,"1,4 T-GTI AHK LED NAVI RFK LHZ PDC SHZ",junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 220,weiß,07/2017,2017,26000,135,184,Automatik,Benzin,6.5,68000.0,4Matic 7G-DCT AMG Line,Gebrauchtwagen
ford,Ford Fiesta,silber,03/2012,2012,6650,70,95,Schaltgetriebe,Diesel,4.1,95000.0,"1,6TDCI 95.000km 5 Türig",Gebrauchtwagen
mercedes-benz,Mercedes-Benz ML 350,silber,02/2012,2012,30999,225,306,Automatik,Benzin,8.5,90000.0,4MATIC (BlueEFFICIENCY) 7G-TRONIC offroad Paket,Gebrauchtwagen
opel,Opel Insignia,schwarz,04/2019,2019,17000,100,136,Automatik,Diesel,5.5,74500.0,Grand Sport 1.6 Diesel Automatik Business Edition,Gebrauchtwagen
volkswagen,Volkswagen Golf,weiß,05/2011,2011,8500,77,105,Schaltgetriebe,Benzin,5.7,130000.0,1.2 TSI Style,Gebrauchtwagen
volkswagen,Volkswagen Golf,schwarz,06/2019,2019,30990,213,290,Automatik,Benzin,6.7,29300.0,GTI TCR 2.0 TSI DSG +NAVI+ACC+LED+LM18+S/HZ,Gebrauchtwagen
bmw,BMW 118,blau,10/2007,2007,6300,105,143,Schaltgetriebe,Benzin,6.2,170410.0,i Lim. (E81/E87),Gebrauchtwagen
audi,Audi Q2,blau,04/2022,2022,21990,110,150,Automatik,Benzin,6.4,7490.0,"S line 35 TFSI S tronic, Navi LED Fahren-Pake",junger Gebrauchtwagen
volkswagen,Volkswagen T5 Transporter,blau,05/2013,2013,13850,75,102,Schaltgetriebe,Diesel,7.2,158920.0,Kasten*Klimaanlage*,Gebrauchtwagen
seat,SEAT Leon,rot,07/2013,2013,13919,110,150,Schaltgetriebe,Diesel,4.1,76783.0,2.0 TDI FR NAVI LED PDC SHZ  TEMPOMAT,Gebrauchtwagen
opel,Opel Insignia,weiß,11/2018,2018,26200,154,209,Automatik,Diesel,7.2,54301.0,CT 2.0 CDTI 4X4 Exclusive LED/NAVI/AHZV,Gebrauchtwagen
volkswagen,Volkswagen Golf,blau,01/2018,2018,19490,135,184,Automatik,Diesel,4.8,123000.0,VII Variant GTD BMT / 1.Hand / NAVI /PANO,Gebrauchtwagen
hyundai,Hyundai BAYON,silber,05/2023,2023,22490,74,101,Schaltgetriebe,Benzin,5.7,20.0,1.0 T-GDi Connect & Go *kurzfr. Verfügbar*,Neuwagen
skoda,Skoda Karoq,blau,06/2022,2022,34999,110,150,Automatik,Benzin,5.2,4500.0,DSG Sportline*MATRIX*VIRTUAL*KESSY*AHZV*,junger Gebrauchtwagen
opel,Opel Mokka,grau,12/2021,2021,25900,96,131,Automatik,Benzin,4.8,7871.0,Ultimate,junger Gebrauchtwagen
audi,Audi A4,schwarz,11/2004,2004,850,132,179,Schaltgetriebe,Diesel,7.8,292300.0,Avant 2.5 TDI quattro.Klima.Navi.SHZ.KeinTÜV,Gebrauchtwagen
seat,SEAT Ateca,weiß,02/2020,2020,23980,110,150,Automatik,Diesel,5.9,60450.0,2.0 TDI XCELLENCE DSG AHK / LED / ACC /,junger Gebrauchtwagen
opel,Opel Insignia,grau,12/2018,2018,32480,154,209,Automatik,Diesel,7.1,91293.0,GSi 4x4 B Sports Tourer,Gebrauchtwagen
ford,Ford Kuga,schwarz,06/2016,2016,16498,110,150,Schaltgetriebe,Benzin,6.2,66255.0,1.5 Navi/Tel-Sync/PDC/Bi-Xenon/Temp/SHZ/BC!,Gebrauchtwagen
mercedes-benz,Mercedes-Benz B 180,grau,08/2005,2005,4000,80,109,Schaltgetriebe,Diesel,5.6,250000.0,CDI,Gebrauchtwagen
seat,SEAT Arona,weiß,02/2018,2018,18990,110,150,Schaltgetriebe,Benzin,5.1,67100.0,"FR 1,5 TSi-Navi/LED/AHK/Parklenksystem",Gebrauchtwagen
ford,Ford Focus,weiß,09/2015,2015,8399,63,86,Schaltgetriebe,Benzin,6.0,110979.0,Ambiente Turnier  Klima guter Zustand,Gebrauchtwagen
audi,Audi A4,silber,07/2020,2020,23490,120,163,Automatik,Diesel,5.2,89364.0,35 TDI S-tronic +STADT+TOUR+KAMERA+ACC+,junger Gebrauchtwagen
opel,Opel Insignia,silber,11/2021,2021,26990,128,174,Automatik,Diesel,4.3,9756.0,GS Elegance / Anhängerkupplung / Massage,junger Gebrauchtwagen
seat,SEAT Arona,blau,05/2018,2018,16500,85,116,Schaltgetriebe,Benzin,4.9,33468.0,"Style, LED, PDC",Gebrauchtwagen
audi,Audi SQ5,weiß,09/2016,2016,30900,240,326,Automatik,Diesel,6.6,96344.0,3.0 TDI competition quattro PanoDach Xenon,Gebrauchtwagen
land-rover,Land Rover Range Rover Velar,weiß,10/2019,2019,54900,221,300,Automatik,Benzin,8.2,73400.0,2.0 R-Dynamic SE,Gebrauchtwagen
bmw,BMW 320,grau,05/2014,2014,19190,135,184,Automatik,Diesel,4.7,107850.0,d xDrive PDC l 2.Hd l Bi-Xenon l HUD l NaviProf l,Gebrauchtwagen
dacia,Dacia Duster,schwarz,03/2023,2023,22990,96,131,Schaltgetriebe,Benzin,6.2,180.0,Journey+ II TCE 130.-Navig/Sitzh/Klima/PDC/Kamera,Jahreswagen
volkswagen,Volkswagen Sharan,silber,08/2013,2013,11799,103,140,Automatik,Diesel,6.0,238000.0,2.0 TDI 4Motion Highline - 7 Sitzer - Navi,Gebrauchtwagen
audi,Audi TTS,weiß,10/2011,2011,20900,200,272,Schaltgetriebe,Benzin,7.9,96500.0,Coupe,Gebrauchtwagen
volkswagen,Volkswagen Tiguan,schwarz,07/2016,2016,7900,132,179,Automatik,Benzin,7.4,58983.0,Highline 4Motion 2.0 TSI DSG Led Navi ACC Panorama,Gebrauchtwagen
bmw,BMW X3 M,silber,10/2018,2018,28900,140,190,Automatik,Diesel,5.1,141000.0,xDrive20d Aut.  X-Line Garantie 8F 19 Zoll TÜV,Gebrauchtwagen
skoda,Skoda Fabia,blau,05/2020,2020,16240,70,95,Schaltgetriebe,Benzin,4.6,7676.0,1.0 TSI Cool Plus,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,rot,02/2021,2021,37900,221,300,Automatik,Benzin,7.4,29100.0,"2.0 DSG GTI Clubsport, 19"",Navi,DAB,LED...",junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 63 AMG,grau,03/2018,2018,79890,450,612,Automatik,Benzin,8.8,73000.0,S  4M+ PanD/360/Burm/AMGPerfom,Gebrauchtwagen
dacia,Dacia Duster,schwarz,03/2017,2017,12980,80,109,Schaltgetriebe,Diesel,4.4,41500.0,1.5 dCi 110 FAP Prestige 4x2 S&S (EU 6) 1.5 dCi 11,Gebrauchtwagen
citroen,Citroen C3,blau,04/2020,2020,15600,81,110,Schaltgetriebe,Benzin,4.8,15000.0,Aircross Feel,junger Gebrauchtwagen
bmw,BMW 530,schwarz,05/2023,2023,71650,210,286,Automatik,Diesel,5.6,50.0,d xDrive Limousine M Sportpaket Head-Up HiFi,Jahreswagen
renault,Renault Megane,blau,02/2020,2020,19990,103,140,Schaltgetriebe,Benzin,5.7,41302.0,GRANDTOUR 4 1.3 TCE 140 KOMBI,junger Gebrauchtwagen
hyundai,Hyundai TUCSON,schwarz,05/2023,2023,38650,110,150,Automatik,Benzin,5.7,10.0,"1,6 Blackline 48V Mild-Hybrid 2WD DCT Voll LED/Nav",Neuwagen
bmw,BMW M4,weiß,04/2016,2016,47500,317,431,Automatik,Benzin,8.7,92000.0,Cabrio*H&K*360° Kam*CS-Felgen*Head-Up*Carbon*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 43 AMG,blau,10/2018,2018,48890,270,367,Automatik,Benzin,9.8,92660.0,4M Comand+360°+LED+Pano+Standhzg+HUD,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 350,schwarz,03/2011,2011,17850,215,292,Automatik,Benzin,8.9,165000.0,E 350 CGI Cabrio BlueEFFICIENCY 7G-TRONIC Elegance,Gebrauchtwagen
dacia,Dacia Lodgy,weiß,08/2020,2020,14800,75,102,Schaltgetriebe,Benzin,6.0,49700.0,Start | 1.Hand | 7-Sitzer | Klima | TOP ANGEBOT,junger Gebrauchtwagen
citroen,Citroen C3 Aircross,grau,11/2020,2020,18990,81,110,Schaltgetriebe,Benzin,5.0,16000.0,PureTech 110 S&S C-Series KAMERA,junger Gebrauchtwagen
seat,SEAT Arona,rot,10/2022,2022,30190,81,110,Automatik,Benzin,4.9,100.0,"1.0 TSI DSG FR_18""ALU_KAMERA_VOLL LED_PDC V+H_SHZ",junger Gebrauchtwagen
ford,Ford Fiesta,silber,10/2019,2019,16780,92,125,Schaltgetriebe,Benzin,4.7,18224.0,1.0 EcoBoost TITANIUM NAVI LED SITZHZ KAM,Gebrauchtwagen
audi,Audi Q5,braun,05/2018,2018,37998,185,252,Automatik,Benzin,6.9,49578.0,2.0 TFSI quattro S line ACC LED Navi Kamer,Gebrauchtwagen
volkswagen,Volkswagen T6.1 Multivan,beige,12/2021,2021,62880,110,150,Automatik,Diesel,6.0,14464.0,2.0 TDI DSG Navi SHZ Klima ParkPilot,junger Gebrauchtwagen
opel,Opel Corsa,silber,02/2004,2004,2250,55,75,Schaltgetriebe,Benzin,6.4,139000.0,Enjoy C,Gebrauchtwagen
seat,SEAT Ateca,weiß,05/2023,2023,28988,110,150,Automatik,Benzin,6.4,10.0,1.5 TSI 150 DSG Style LED PDC FullL 17Z,Neuwagen
skoda,Skoda Scala,blau,11/2019,2019,16170,85,116,Schaltgetriebe,Benzin,4.9,56000.0,1.0 TSI Ambition*115PS*SmartLink*Alu/17Zoll*PDC*,Gebrauchtwagen
renault,Renault Twingo,orange,09/2017,2017,14660,80,109,Automatik,Benzin,5.3,63987.0,GT AUTOMATIK NAV FALTDACH SHZ TEMPOMAT ALU PDC BLU,Gebrauchtwagen
